Linha 472 |claim_uid: 3oihkb |cord_uid: vlhbe3bt |title: Senior_medical_students_as_assistants_in_medicine_in_COVID-19_crisis:_a_realist_evaluation_protocol |doi: 10.1136/bmjopen-2020-045822 |numerical_claims: As_more_'lines_of_enquiry'_27_are_identified,_for_example,_through_interviews_with_key_stakeholders_who_have_been_involved_in_initiating_and_developing_the_Assistant_in_Medicine_programme,_these_will_be_followed_up_and_further_literature_searches_will_be_conducted_(dovetailing_onto_our_realist_synthesis). |publish_time: 06/09/2021 |authors: Monrouxe,_Lynn_V,_Hockey,_Peter,_Khanna,_Priya,_Klinner,_Christiane,_Mogensen,_Lise,_O'Mara,_D_A,_Roach,_Abbey,_Tobin,_Stephen,_Davids,_Jennifer_Ann |journal: BMJ_Open |country: Australia |institution: University_of_Sydney
Linha 971 |claim_uid: 4fxwgl |cord_uid: 3leu9prg |title: Water_science_under_the_global_epidemic_of_COVID-19:_Bibliometric_tracking_on_COVID-19_publication_and_further_research_needs |doi: 10.1016/j.jece.2021.105357 |numerical_claims: There_are_some_key_nodes_that_need_to_pay_attention_in_water_cycle:_1)_wastewater_plumbing_systems:_It_is_necessary_to_understand_the_survival_features_of_virus_from_source_to_sink_because_the_wastewater_needs_a_certain_time_to_be_transported_to_a_centralized_WWTP,_2)_wastewater_treatment_processes:_Although_some_studies_have_described_the_fate_of_coronaviruses_in_WWTPs_with_observations_of_surrogates,_the_need_for_confirming_the_real_removal_performance_of_SARS-CoV-2_in_treatment_process_is_desirable. |publish_time: 15/03/2021 |authors: Ji,_Bin,_Zhao,_Yaqian,_Wei,_Ting,_Kang,_Peiying |journal: J_Environ_Chem_Eng |country: PR_China |institution: Xi'an_University_of_Technology
Linha 972 |claim_uid: 8aikwu |cord_uid: 3leu9prg |title: Water_science_under_the_global_epidemic_of_COVID-19:_Bibliometric_tracking_on_COVID-19_publication_and_further_research_needs |doi: 10.1016/j.jece.2021.105357 |numerical_claims: It_has_been_estimated_that_1.56_billion_masks_could_enter_ocean_in_2020,_which_pose_an_existential_threat_to_marine_wildlife_and_ecosystems. |publish_time: 15/03/2021 |authors: Ji,_Bin,_Zhao,_Yaqian,_Wei,_Ting,_Kang,_Peiying |journal: J_Environ_Chem_Eng |country: PR_China |institution: Xi'an_University_of_Technology
Linha 741 |claim_uid: 9hbefv |cord_uid: rgtx72pr |title: A_performance_comparison_of_supervised_machine_learning_models_for_Covid-19_tweets_sentiment_analysis |doi: 10.1371/journal.pone.0245909 |numerical_claims: RT_ziwe:_can_t_believe_corona_blew_a_28-3_lead_to_racism_0_0_1266588391858200000_whozak_bonifacemwangi_She_can't_walk_but_can_dance_oops_AtwoliDza_is_cursed_but_anyway_biwott_was_also_there_and_-0.4_0_1266588392109760000_RT_FLOTUS:_Our_country_allows_for_peaceful_protests,_but_there_is_no_reason_for_violence. |publish_time: 25/02/2021 |authors: Rustam,_Furqan,_Khalid,_Madiha,_Aslam,_Waqar,_Rupapara,_Vaibhav,_Mehmood,_Arif,_Choi,_Gyu_Sang |journal: PLoS_One |country: Pakistan |institution: The_Islamia_University_of_Bahawalpur
Linha 742 |claim_uid: 8qfcaw |cord_uid: rgtx72pr |title: A_performance_comparison_of_supervised_machine_learning_models_for_Covid-19_tweets_sentiment_analysis |doi: 10.1371/journal.pone.0245909 |numerical_claims: The_n_estimator_=_300_implies_XGBoost_uses_300_decision_trees_as_a_base_learner,_which_will_take_part_in_the_prediction_process. |publish_time: 25/02/2021 |authors: Rustam,_Furqan,_Khalid,_Madiha,_Aslam,_Waqar,_Rupapara,_Vaibhav,_Mehmood,_Arif,_Choi,_Gyu_Sang |journal: PLoS_One |country: Pakistan |institution: The_Islamia_University_of_Bahawalpur
Linha 743 |claim_uid: 4lprkc |cord_uid: rgtx72pr |title: A_performance_comparison_of_supervised_machine_learning_models_for_Covid-19_tweets_sentiment_analysis |doi: 10.1371/journal.pone.0245909 |numerical_claims: The_maximum_accuracy_score_can_be_1_and_the_minimum_accuracy_score_can_be_0. |publish_time: 25/02/2021 |authors: Rustam,_Furqan,_Khalid,_Madiha,_Aslam,_Waqar,_Rupapara,_Vaibhav,_Mehmood,_Arif,_Choi,_Gyu_Sang |journal: PLoS_One |country: Pakistan |institution: The_Islamia_University_of_Bahawalpur
Linha 744 |claim_uid: 6jpmti |cord_uid: rgtx72pr |title: A_performance_comparison_of_supervised_machine_learning_models_for_Covid-19_tweets_sentiment_analysis |doi: 10.1371/journal.pone.0245909 |numerical_claims: Next,_a_dropout_layer_with_a_0.5_dropout_rate_is_used_to_drop_the_neurons_during_training,_thus_reducing_the_chances_of_over-fitting_the_model. |publish_time: 25/02/2021 |authors: Rustam,_Furqan,_Khalid,_Madiha,_Aslam,_Waqar,_Rupapara,_Vaibhav,_Mehmood,_Arif,_Choi,_Gyu_Sang |journal: PLoS_One |country: Pakistan |institution: The_Islamia_University_of_Bahawalpur
Linha 537 |claim_uid: 9kxnua |cord_uid: dc26tyu2 |title: Effects_of_coronavirus_(COVID-19)_pandemic_on_orthopedic_residency_program_in_the_seventh_largest_city_of_the_world:_Recommendations_from_a_resource-constrained_setting |doi: 10.1016/j.amsu.2020.06.026 |numerical_claims: "Our_section_of_Orthopedic_Surgery_was_the_first_in_our_tertiary_care_24_hospital_to_cut_down_outpatient_clinic_numbers_by_restricting_practice_to_only_""must_be_seen""_25_follow-up_patients_especially_who_have_underwent_surgery_in_prior_weeks_and_so_on,_even_before_26_our_University_hospital_published_their_guidelines." |publish_time: 25/06/2020 |authors: Zahid,_Marij,_Ali,_Arif,_Baloch,_Naveed_Jumman,_Noordin,_Shahryar |journal: Ann_Med_Surg_(Lond) |country: Pakistan |institution: Aga_Khan_University_Hospital
Linha 196 |claim_uid: 7hxalj |cord_uid: 7iz5tkcn |title: A_Comparative_Retrospective_Study_of_COVID-19_Responses_in_Four_Representative_Asian_Countries |doi: 10.2147/rmhp.s334326 |numerical_claims: "The_ongoing_COVID-19_has_already_affected_over_160_million_people,_claiming_more_than_3_million_lives_in_over_200_nations_all_over_the_world_as_of_In_response_to_""flattening_the_curve"",_national_governments_worldwide_have_tried_different_approaches_to_deal_with_COVID-19_such_as_social_distance,_travel_restrictions,_lockdown_city,_and_quarantines." |publish_time: 11/01/2022 |authors: Wang,_xiaohan,_Shi,_Leiyu,_Zhang,_Yuyao,_Chen,_Haiqian,_Jiao,_Jun,_yang,_manfei,_Sun,_Gang |journal: Risk_Manag_Healthc_Policy |country: People's_Republic_of_China |institution: Southern_Medical_University
Linha 197 |claim_uid: 4cbxep |cord_uid: 7iz5tkcn |title: A_Comparative_Retrospective_Study_of_COVID-19_Responses_in_Four_Representative_Asian_Countries |doi: 10.2147/rmhp.s334326 |numerical_claims: Because_the_antibodies_produced_by_infected_humans_may_only_be_effective_for_40_weeks_(<300_days),_shorter_than_even_the_development_cycle_of_a_vaccine. |publish_time: 11/01/2022 |authors: Wang,_xiaohan,_Shi,_Leiyu,_Zhang,_Yuyao,_Chen,_Haiqian,_Jiao,_Jun,_yang,_manfei,_Sun,_Gang |journal: Risk_Manag_Healthc_Policy |country: People's_Republic_of_China |institution: Southern_Medical_University
Linha 198 |claim_uid: 4zybwn |cord_uid: 7iz5tkcn |title: A_Comparative_Retrospective_Study_of_COVID-19_Responses_in_Four_Representative_Asian_Countries |doi: 10.2147/rmhp.s334326 |numerical_claims: South_Korea's_healthcare_system_is_considered_to_be_one_of_the_best_in_the_world,_with_a_Computed_Tomography_(CT)_Scanners_count_of_39_per_1_million_inhabitants_and_12.4_hospital_beds_per_1000_inhabitants_in_2018. |publish_time: 11/01/2022 |authors: Wang,_xiaohan,_Shi,_Leiyu,_Zhang,_Yuyao,_Chen,_Haiqian,_Jiao,_Jun,_yang,_manfei,_Sun,_Gang |journal: Risk_Manag_Healthc_Policy |country: People's_Republic_of_China |institution: Southern_Medical_University
Linha 199 |claim_uid: 5oxcag |cord_uid: 7iz5tkcn |title: A_Comparative_Retrospective_Study_of_COVID-19_Responses_in_Four_Representative_Asian_Countries |doi: 10.2147/rmhp.s334326 |numerical_claims: We_can_see_that_the_positive_rate_of_COVID-19_in_South_Korea_is_2.2%,_which_is_lower_than_the_standard_announced_by_the_WHO,_indicating_that_the_epidemic_in_South_Korea_is_well_controlled. |publish_time: 11/01/2022 |authors: Wang,_xiaohan,_Shi,_Leiyu,_Zhang,_Yuyao,_Chen,_Haiqian,_Jiao,_Jun,_yang,_manfei,_Sun,_Gang |journal: Risk_Manag_Healthc_Policy |country: People's_Republic_of_China |institution: Southern_Medical_University
Linha 200 |claim_uid: 3ivufg |cord_uid: 7iz5tkcn |title: A_Comparative_Retrospective_Study_of_COVID-19_Responses_in_Four_Representative_Asian_Countries |doi: 10.2147/rmhp.s334326 |numerical_claims: A_model_evaluating_the_effectiveness_of_NPIs_in_China_showed_that_without_these_interventions,_COVID-19_cases_may_increase_67-fold_and_that_early_detection_and_isolation_of_cases_was_the_most_effective_measure. |publish_time: 11/01/2022 |authors: Wang,_xiaohan,_Shi,_Leiyu,_Zhang,_Yuyao,_Chen,_Haiqian,_Jiao,_Jun,_yang,_manfei,_Sun,_Gang |journal: Risk_Manag_Healthc_Policy |country: People's_Republic_of_China |institution: Southern_Medical_University
Linha 450 |claim_uid: 8bhusw |cord_uid: 10is8l7q |title: Cytokine_Overproduction_and_Immune_System_Dysregulation_in_alloHSCT_and_COVID-19_Patients |doi: 10.3389/fimmu.2021.658896 |numerical_claims: A_high_number_of_CD34+_cells_in_the_transplant_material_is_associated_with_a_high_number_of_na_ve_cells_4_weeks_after_transplant,_especially_in_patients_not_experiencing_EBV_or_HHV6_reactivation. |publish_time: 02/06/2021 |authors: Lange,_Andrzej,_Lange,_Janusz,_Jaskuła,_Emilia |journal: Front_Immunol |country: Poland |institution: Polish_Academy_of_Sciences
Linha 451 |claim_uid: 7rqtwe |cord_uid: 10is8l7q |title: Cytokine_Overproduction_and_Immune_System_Dysregulation_in_alloHSCT_and_COVID-19_Patients |doi: 10.3389/fimmu.2021.658896 |numerical_claims: Likely_due_to_HSCT_patients_homozygous_for_13_CA_repeats_being_poor_producers_of_this_cytokine_under_stimulation,_they_are_more_susceptible_to_CMV_and_EBV_reactivation_and_finally_to_GvHD. |publish_time: 02/06/2021 |authors: Lange,_Andrzej,_Lange,_Janusz,_Jaskuła,_Emilia |journal: Front_Immunol |country: Poland |institution: Polish_Academy_of_Sciences
Linha 452 |claim_uid: 8zxhos |cord_uid: 10is8l7q |title: Cytokine_Overproduction_and_Immune_System_Dysregulation_in_alloHSCT_and_COVID-19_Patients |doi: 10.3389/fimmu.2021.658896 |numerical_claims: To_do_so,_we_have_to_(i)_implement_immunogenetic_profiling_to_stratify_the_patients_at_risk_(IL-6,_IFN_gamma_genotyping),_(ii)_follow_the_phosphorylation_of_the_master_kinases_of_the_signaling_pathways_to_understand_the_balance_between_signaling_pathways_important_for_keeping_cells_in_homeostatic_order,_(iii)_detect_the_methylation_pattern_of_STAT3_and_5,_which_are_associated_with_the_potential_of_Treg_cell_and_Th17+_cell_generation. |publish_time: 02/06/2021 |authors: Lange,_Andrzej,_Lange,_Janusz,_Jaskuła,_Emilia |journal: Front_Immunol |country: Poland |institution: Polish_Academy_of_Sciences
Linha 646 |claim_uid: 5ncekj |cord_uid: yiy0tjxh |title: Dietary_Choices_and_Habits_during_COVID-19_Lockdown:_Experience_from_Poland |doi: 10.3390/nu12061657 |numerical_claims: The_most_frequent_number_of_meals_per_day_during_quarantine_in_the_studied_group_was_three_(30.3%)_and_four_(39.3%),_while_in_case_of_snacks,_it_was_one_(28.3%)_and_two_(36.1%). |publish_time: 03/06/2020 |authors: Sidor,_Aleksandra,_Rzymski,_Piotr |journal: Nutrients |country: Poland |institution: Poznan_University_of_Medical_Sciences
Linha 647 |claim_uid: 1xhifg |cord_uid: yiy0tjxh |title: Dietary_Choices_and_Habits_during_COVID-19_Lockdown:_Experience_from_Poland |doi: 10.3390/nu12061657 |numerical_claims: It_is_now_well_evidenced_that_skipping_breakfast_can_be_associated_with_an_increased_risk_of_type_2_diabetes,_heart_disease,_and_mortality_from_cardiovascular_disease. |publish_time: 03/06/2020 |authors: Sidor,_Aleksandra,_Rzymski,_Piotr |journal: Nutrients |country: Poland |institution: Poznan_University_of_Medical_Sciences
Linha 648 |claim_uid: 6xpsmt |cord_uid: yiy0tjxh |title: Dietary_Choices_and_Habits_during_COVID-19_Lockdown:_Experience_from_Poland |doi: 10.3390/nu12061657 |numerical_claims: Even_though_the_number_of_self-identified_alcohol_addicts_in_the_study_was_low_(n_=_14),_this_highlights_the_need_to_provide_assistance_and_support_for_this_group,_and_in_all_likelihood_other_chemical_abusers,_during_epidemic-related_lockdowns. |publish_time: 03/06/2020 |authors: Sidor,_Aleksandra,_Rzymski,_Piotr |journal: Nutrients |country: Poland |institution: Poznan_University_of_Medical_Sciences
Linha 649 |claim_uid: 2haybi |cord_uid: yiy0tjxh |title: Dietary_Choices_and_Habits_during_COVID-19_Lockdown:_Experience_from_Poland |doi: 10.3390/nu12061657 |numerical_claims: In_line_with_this,_48.7%_of_the_group_surveyed_in_the_present_study_revealed_a_fear_of_contracting_SARS-CoV-2_during_grocery_shopping,_whereas_31.9%_could_not_decide_on_this_matter_(_Figure_2_). |publish_time: 03/06/2020 |authors: Sidor,_Aleksandra,_Rzymski,_Piotr |journal: Nutrients |country: Poland |institution: Poznan_University_of_Medical_Sciences
Linha 942 |claim_uid: 1uwdri |cord_uid: ucd6ooob |title: Mental_Well-Being_(Depression,_Loneliness,_Insomnia,_Daily_Life_Fatigue)_during_COVID-19_Related_Home-Confinement—A_Study_from_Poland |doi: 10.3390/ijerph17207417 |numerical_claims: Fortunately,_currently_over_50_vaccine_candidates_are_in_pre-clinical_studies_with_some_in_Phase_I._Hopefully,_an_effective_vaccine_is_expected_to_be_available_in_early_2021. |publish_time: 12/10/2020 |authors: Bartoszek,_Adrian,_Walkowiak,_Dariusz,_Bartoszek,_Agnieszka,_Kardas,_Grzegorz |journal: Int_J_Environ_Res_Public_Health |country: Poland |institution: Medical_University_of_Lodz
Linha 130 |claim_uid: 4naceo |cord_uid: to97nuj7 |title: Influenza_and_Influenza-Like_Respiratory_Virus_Infections_in_Children_During_the_2019/20_Influenza_Season_and_the_COVID-19_Pandemic_in_Poland:_Data_from_the_National_Influenza_Centre,_the_Department_of_Influenza_Research_at_the_National_Institute_of_Public_Health,_and_16_Voivodeship_Sanitary_and_Epidemiological_Stations |doi: 10.12659/msm.934862 |numerical_claims: Healthy_adults_without_comorbidities_can_become_infected_even_a_day_before_and_5-7_days_after_the_first_symptoms_of_the_disease_appear. |publish_time: 12/12/2021 |authors: Kondratiuk,_Katarzyna,_Hallmann,_Ewelina,_Łuniewska,_Katarzyna,_Szymański,_Karol,_Niedzielak,_Małgorzata,_Brydak,_Lidia_B. |journal: Med_Sci_Monit |country: Poland |institution: National_Institute_of_Public_Health_NIH_-National_Research_Institute
Linha 131 |claim_uid: 8goxfy |cord_uid: to97nuj7 |title: Influenza_and_Influenza-Like_Respiratory_Virus_Infections_in_Children_During_the_2019/20_Influenza_Season_and_the_COVID-19_Pandemic_in_Poland:_Data_from_the_National_Influenza_Centre,_the_Department_of_Influenza_Research_at_the_National_Institute_of_Public_Health,_and_16_Voivodeship_Sanitary_and_Epidemiological_Stations |doi: 10.12659/msm.934862 |numerical_claims: Children_and_people_with_impaired_immune_systems_may_shed_the_virus_a_few_days_before_the_symptoms_appear,_up_to_more_than_10_days_after_the_symptoms_of_the_infection_have_ceased. |publish_time: 12/12/2021 |authors: Kondratiuk,_Katarzyna,_Hallmann,_Ewelina,_Łuniewska,_Katarzyna,_Szymański,_Karol,_Niedzielak,_Małgorzata,_Brydak,_Lidia_B. |journal: Med_Sci_Monit |country: Poland |institution: National_Institute_of_Public_Health_NIH_-National_Research_Institute
Linha 132 |claim_uid: 5oaijw |cord_uid: to97nuj7 |title: Influenza_and_Influenza-Like_Respiratory_Virus_Infections_in_Children_During_the_2019/20_Influenza_Season_and_the_COVID-19_Pandemic_in_Poland:_Data_from_the_National_Influenza_Centre,_the_Department_of_Influenza_Research_at_the_National_Institute_of_Public_Health,_and_16_Voivodeship_Sanitary_and_Epidemiological_Stations |doi: 10.12659/msm.934862 |numerical_claims: Gastrointestinal_symptoms_(eg,_nausea_and_vomiting)_are_more_common_with_influenza_B,_and_40-80%_of_children_have_changes_in_the_radiographic_image_(X-ray)_of_the_lungs. |publish_time: 12/12/2021 |authors: Kondratiuk,_Katarzyna,_Hallmann,_Ewelina,_Łuniewska,_Katarzyna,_Szymański,_Karol,_Niedzielak,_Małgorzata,_Brydak,_Lidia_B. |journal: Med_Sci_Monit |country: Poland |institution: National_Institute_of_Public_Health_NIH_-National_Research_Institute
Linha 133 |claim_uid: 2ineux |cord_uid: to97nuj7 |title: Influenza_and_Influenza-Like_Respiratory_Virus_Infections_in_Children_During_the_2019/20_Influenza_Season_and_the_COVID-19_Pandemic_in_Poland:_Data_from_the_National_Influenza_Centre,_the_Department_of_Influenza_Research_at_the_National_Institute_of_Public_Health,_and_16_Voivodeship_Sanitary_and_Epidemiological_Stations |doi: 10.12659/msm.934862 |numerical_claims: Pandemics_occur_about_3_times_in_a_century_and_can_kill_tens_of_millions_of_people. |publish_time: 12/12/2021 |authors: Kondratiuk,_Katarzyna,_Hallmann,_Ewelina,_Łuniewska,_Katarzyna,_Szymański,_Karol,_Niedzielak,_Małgorzata,_Brydak,_Lidia_B. |journal: Med_Sci_Monit |country: Poland |institution: National_Institute_of_Public_Health_NIH_-National_Research_Institute
Linha 134 |claim_uid: 8hmspc |cord_uid: to97nuj7 |title: Influenza_and_Influenza-Like_Respiratory_Virus_Infections_in_Children_During_the_2019/20_Influenza_Season_and_the_COVID-19_Pandemic_in_Poland:_Data_from_the_National_Influenza_Centre,_the_Department_of_Influenza_Research_at_the_National_Institute_of_Public_Health,_and_16_Voivodeship_Sanitary_and_Epidemiological_Stations |doi: 10.12659/msm.934862 |numerical_claims: The_World_Health_Organization_(WHO)_emphasizes_e934862-2_the_need_of_increased_monitoring_of_influenza_virus_infections,_noting_that_the_influenza_virus_can_quickly_mutate,_and_that_the_recent_pandemic_of_the_influenza_virus,_so-called_The_Hong_Kong_era_of_1968-1969,_caused_by_the_A/H3N2/_subtype,_caused_1-4_million_deaths_all_over_the_world. |publish_time: 12/12/2021 |authors: Kondratiuk,_Katarzyna,_Hallmann,_Ewelina,_Łuniewska,_Katarzyna,_Szymański,_Karol,_Niedzielak,_Małgorzata,_Brydak,_Lidia_B. |journal: Med_Sci_Monit |country: Poland |institution: National_Institute_of_Public_Health_NIH_-National_Research_Institute
Linha 135 |claim_uid: 3sckdz |cord_uid: to97nuj7 |title: Influenza_and_Influenza-Like_Respiratory_Virus_Infections_in_Children_During_the_2019/20_Influenza_Season_and_the_COVID-19_Pandemic_in_Poland:_Data_from_the_National_Influenza_Centre,_the_Department_of_Influenza_Research_at_the_National_Institute_of_Public_Health,_and_16_Voivodeship_Sanitary_and_Epidemiological_Stations |doi: 10.12659/msm.934862 |numerical_claims: As_one_can_see_in_Figure_1,_the_majority_of_positive_cases_were_influenza_infections,_and_the_ratio_of_influenza_infections_to_all_e934862-3_positive_cases_seems_to_increase_with_age:_84.1%_for_0-4_years,_92.9%_for_5-9_years,_and_97.8%_for_10-14_years. |publish_time: 12/12/2021 |authors: Kondratiuk,_Katarzyna,_Hallmann,_Ewelina,_Łuniewska,_Katarzyna,_Szymański,_Karol,_Niedzielak,_Małgorzata,_Brydak,_Lidia_B. |journal: Med_Sci_Monit |country: Poland |institution: National_Institute_of_Public_Health_NIH_-National_Research_Institute
Linha 136 |claim_uid: 2blvcz |cord_uid: to97nuj7 |title: Influenza_and_Influenza-Like_Respiratory_Virus_Infections_in_Children_During_the_2019/20_Influenza_Season_and_the_COVID-19_Pandemic_in_Poland:_Data_from_the_National_Influenza_Centre,_the_Department_of_Influenza_Research_at_the_National_Institute_of_Public_Health,_and_16_Voivodeship_Sanitary_and_Epidemiological_Stations |doi: 10.12659/msm.934862 |numerical_claims: A_more_rigorous_statistical_analysis_allows_us_to_state_that_the_youngest_population_is_different_in_this_respect_from_the_2_older_populations_(P_value=0.5%_and_0.1%,_respectively). |publish_time: 12/12/2021 |authors: Kondratiuk,_Katarzyna,_Hallmann,_Ewelina,_Łuniewska,_Katarzyna,_Szymański,_Karol,_Niedzielak,_Małgorzata,_Brydak,_Lidia_B. |journal: Med_Sci_Monit |country: Poland |institution: National_Institute_of_Public_Health_NIH_-National_Research_Institute
Linha 137 |claim_uid: 2ihknq |cord_uid: to97nuj7 |title: Influenza_and_Influenza-Like_Respiratory_Virus_Infections_in_Children_During_the_2019/20_Influenza_Season_and_the_COVID-19_Pandemic_in_Poland:_Data_from_the_National_Influenza_Centre,_the_Department_of_Influenza_Research_at_the_National_Institute_of_Public_Health,_and_16_Voivodeship_Sanitary_and_Epidemiological_Stations |doi: 10.12659/msm.934862 |numerical_claims: The_highest_number_of_infections_with_both_influenza_viruses_and_influenza-like_viruses_was_recorded_among_the_youngest_children_aged_0-4_years.._This_confirms_that_younger_age_is_associated_with_a_less_mature_immune_system_and_greater_vulnerability_to_viruses. |publish_time: 12/12/2021 |authors: Kondratiuk,_Katarzyna,_Hallmann,_Ewelina,_Łuniewska,_Katarzyna,_Szymański,_Karol,_Niedzielak,_Małgorzata,_Brydak,_Lidia_B. |journal: Med_Sci_Monit |country: Poland |institution: National_Institute_of_Public_Health_NIH_-National_Research_Institute
Linha 589 |claim_uid: 7dqzpn |cord_uid: sby34swb |title: SARS-CoV-2_Antibody_Screening_in_Healthcare_Workers_in_Non-Infectious_Hospitals_in_Two_Different_Regions_of_Southern_Poland_(Upper_Silesia_and_Opole_Voivodeships):_A_Prospective_Cohort_Study |doi: 10.3390/ijerph18084376 |numerical_claims: When_estimating_disease_transmission_in_a_specific_occupational_setting,_only_serological_tests_performed_on_two_blood_samples_from_the_same_volunteers_2_weeks_apart_can_be_fully_reliable. |publish_time: 20/04/2021 |authors: Bułdak,_Rafał_Jakub,_Woźniak-Grygiel,_Elżbieta,_Wąsik,_Marta,_Kasperczyk,_Janusz,_Gawrylak-Dryja,_Ewa,_Mond-Paszek,_Renata,_Konka,_Adam,_Badura-Brzoza,_Karina,_Fronczek,_Martyna,_Golec,_Marlena,_Lejawa,_Mateusz,_Markiel,_Marcin,_Kasperczyk,_Sławomir,_Brzoza,_Zenon |journal: Int_J_Environ_Res_Public_Health |country: Poland |institution: University_of_Opole
Linha 590 |claim_uid: 2tvewj |cord_uid: sby34swb |title: SARS-CoV-2_Antibody_Screening_in_Healthcare_Workers_in_Non-Infectious_Hospitals_in_Two_Different_Regions_of_Southern_Poland_(Upper_Silesia_and_Opole_Voivodeships):_A_Prospective_Cohort_Study |doi: 10.3390/ijerph18084376 |numerical_claims: The_low_rate_of_IgG_seropositive_results_in_HCWs_in_the_University_Hospital_in_Opole_may_be_partly_explained_by_lower_rates_of_infection_in_the_Opole_region_in_comparison_with_the_Upper_Silesia_region,_(cumulative_incidence_0.05%_vs._0.5%,_respectively,_thus_far),_(Figures_2_and_3). |publish_time: 20/04/2021 |authors: Bułdak,_Rafał_Jakub,_Woźniak-Grygiel,_Elżbieta,_Wąsik,_Marta,_Kasperczyk,_Janusz,_Gawrylak-Dryja,_Ewa,_Mond-Paszek,_Renata,_Konka,_Adam,_Badura-Brzoza,_Karina,_Fronczek,_Martyna,_Golec,_Marlena,_Lejawa,_Mateusz,_Markiel,_Marcin,_Kasperczyk,_Sławomir,_Brzoza,_Zenon |journal: Int_J_Environ_Res_Public_Health |country: Poland |institution: University_of_Opole
Linha 591 |claim_uid: 4fcmob |cord_uid: sby34swb |title: SARS-CoV-2_Antibody_Screening_in_Healthcare_Workers_in_Non-Infectious_Hospitals_in_Two_Different_Regions_of_Southern_Poland_(Upper_Silesia_and_Opole_Voivodeships):_A_Prospective_Cohort_Study |doi: 10.3390/ijerph18084376 |numerical_claims: It_should_be_noted_that_population_density_in_Poland_is_123_persons_per_square_kilometer. |publish_time: 20/04/2021 |authors: Bułdak,_Rafał_Jakub,_Woźniak-Grygiel,_Elżbieta,_Wąsik,_Marta,_Kasperczyk,_Janusz,_Gawrylak-Dryja,_Ewa,_Mond-Paszek,_Renata,_Konka,_Adam,_Badura-Brzoza,_Karina,_Fronczek,_Martyna,_Golec,_Marlena,_Lejawa,_Mateusz,_Markiel,_Marcin,_Kasperczyk,_Sławomir,_Brzoza,_Zenon |journal: Int_J_Environ_Res_Public_Health |country: Poland |institution: University_of_Opole
Linha 592 |claim_uid: 3frlhz |cord_uid: sby34swb |title: SARS-CoV-2_Antibody_Screening_in_Healthcare_Workers_in_Non-Infectious_Hospitals_in_Two_Different_Regions_of_Southern_Poland_(Upper_Silesia_and_Opole_Voivodeships):_A_Prospective_Cohort_Study |doi: 10.3390/ijerph18084376 |numerical_claims: However,_in_the_first_months_of_2021,_we_will_repeat_the_study_of_coronavirus_antibodies_in_the_same_research_group. |publish_time: 20/04/2021 |authors: Bułdak,_Rafał_Jakub,_Woźniak-Grygiel,_Elżbieta,_Wąsik,_Marta,_Kasperczyk,_Janusz,_Gawrylak-Dryja,_Ewa,_Mond-Paszek,_Renata,_Konka,_Adam,_Badura-Brzoza,_Karina,_Fronczek,_Martyna,_Golec,_Marlena,_Lejawa,_Mateusz,_Markiel,_Marcin,_Kasperczyk,_Sławomir,_Brzoza,_Zenon |journal: Int_J_Environ_Res_Public_Health |country: Poland |institution: University_of_Opole
Linha 593 |claim_uid: 2tbvjh |cord_uid: sby34swb |title: SARS-CoV-2_Antibody_Screening_in_Healthcare_Workers_in_Non-Infectious_Hospitals_in_Two_Different_Regions_of_Southern_Poland_(Upper_Silesia_and_Opole_Voivodeships):_A_Prospective_Cohort_Study |doi: 10.3390/ijerph18084376 |numerical_claims: Future_perspectives:_In_the_first_months_of_2021,_we_will_repeat_the_study_of_coronavirus_antibodies_in_the_same_research_group_before_vaccination. |publish_time: 20/04/2021 |authors: Bułdak,_Rafał_Jakub,_Woźniak-Grygiel,_Elżbieta,_Wąsik,_Marta,_Kasperczyk,_Janusz,_Gawrylak-Dryja,_Ewa,_Mond-Paszek,_Renata,_Konka,_Adam,_Badura-Brzoza,_Karina,_Fronczek,_Martyna,_Golec,_Marlena,_Lejawa,_Mateusz,_Markiel,_Marcin,_Kasperczyk,_Sławomir,_Brzoza,_Zenon |journal: Int_J_Environ_Res_Public_Health |country: Poland |institution: University_of_Opole
Linha 751 |claim_uid: 4prnht |cord_uid: 2t7c56uy |title: COVID-19_Pandemic_and_Patients_with_Rare_Inherited_Metabolic_Disorders_and_Rare_Autoinflammatory_Diseases—Organizational_Challenges_from_the_Point_of_View_of_Healthcare_Providers |doi: 10.3390/jcm10214862 |numerical_claims: Despite_many_restrictions_and_limitations_during_the_COVID-19_pandemic,_the_majority_of_HCP_(65%)_reported_that_they_could_continue_routine_ambulatory_visits_of_patients. |publish_time: 22/10/2021 |authors: Tobór-Świętek,_Ewa,_Sykut-Cegielska,_Jolanta,_Bik-Multanowski,_Mirosław,_Walczak,_Mieczysław,_Rokicki,_Dariusz,_Kałużny,_Łukasz,_Wierzba,_Joanna,_Pac,_Małgorzata,_Jahnz-Różyk,_Karina,_Więsik-Szewczyk,_Ewa,_Kieć-Wilk,_Beata |journal: J_Clin_Med |country: Poland |institution: Jagiellonian_University_Medical_College
